DS1921:  C634C00004870521
Download at: 7/29/2005 12:37:22 PM

Mission State
-------------
Mission is in progress
Sample rate: 60 minute(s)
Roll-Over Enabled: no
Roll-Over Occured: n/a
Mission Start time:  06/20/2005  17:31 
Mission Start delay: 0 minute(s)
Mission Samples: 932
Device total samples: 3487
Temperatures displayed in: (Celsius)
High Threshold: 30.0°C
Low Threshold: 0.0°C
Temperature threshold alarm state: Conditional(none)  Alarm(none)
Current Real-Time Clock from DS1921: Friday  07/29/2005  12:39:47 
Current PC Time: Friday  07/29/2005  12:38:22 
Time Alarm mode: Alarm weekly
Alarm Time: Sunday 00:00:00
Alarm Time state: Conditional(yes)  Alarm(yes)

Temperature Alarms
------------------
Format: [(HIGH/LOW), Time/Date range]
none

Temperature Histogram
---------------------
Format: [Temp Range , Count] (Celsius)
-40.0°C, 0
-38.0°C, 0
-36.0°C, 0
-34.0°C, 0
-32.0°C, 0
-30.0°C, 0
-28.0°C, 0
-26.0°C, 0
-24.0°C, 0
-22.0°C, 0
-20.0°C, 0
-18.0°C, 0
-16.0°C, 0
-14.0°C, 0
-12.0°C, 0
-10.0°C, 0
-8.0°C, 0
-6.0°C, 0
-4.0°C, 0
-2.0°C, 0
0.0°C, 0
2.0°C, 0
4.0°C, 0
6.0°C, 0
8.0°C, 0
10.0°C, 3
12.0°C, 10
14.0°C, 18
16.0°C, 61
18.0°C, 692
20.0°C, 148
22.0°C, 0
24.0°C, 0
26.0°C, 0
28.0°C, 0
30.0°C, 0
32.0°C, 0
34.0°C, 0
36.0°C, 0
38.0°C, 0
40.0°C, 0
42.0°C, 0
44.0°C, 0
46.0°C, 0
48.0°C, 0
50.0°C, 0
52.0°C, 0
54.0°C, 0
56.0°C, 0
58.0°C, 0
60.0°C, 0
62.0°C, 0
64.0°C, 0
66.0°C, 0
68.0°C, 0
70.0°C, 0
72.0°C, 0
74.0°C, 0
76.0°C, 0
78.0°C, 0
80.0°C, 0
82.0°C, 0
84.0°C, 0

Log Data
--------
Format: [Time/Date , Temperature] (Celsius)
 06/20/2005  17:31 , 18.5°C
 06/20/2005  18:31 , 18.5°C
 06/20/2005  19:31 , 12.0°C
 06/20/2005  20:31 , 12.5°C
 06/20/2005  21:31 , 14.0°C
 06/20/2005  22:31 , 15.0°C
 06/20/2005  23:31 , 16.0°C
 06/21/2005  00:31 , 16.5°C
 06/21/2005  01:31 , 17.0°C
 06/21/2005  02:31 , 17.5°C
 06/21/2005  03:31 , 18.0°C
 06/21/2005  04:31 , 18.5°C
 06/21/2005  05:31 , 18.5°C
 06/21/2005  06:31 , 19.0°C
 06/21/2005  07:31 , 19.0°C
 06/21/2005  08:31 , 19.5°C
 06/21/2005  09:31 , 19.5°C
 06/21/2005  10:31 , 19.5°C
 06/21/2005  11:31 , 19.5°C
 06/21/2005  12:31 , 20.0°C
 06/21/2005  13:31 , 20.0°C
 06/21/2005  14:31 , 20.0°C
 06/21/2005  15:31 , 20.5°C
 06/21/2005  16:31 , 20.0°C
 06/21/2005  17:31 , 20.5°C
 06/21/2005  18:31 , 20.5°C
 06/21/2005  19:31 , 20.5°C
 06/21/2005  20:31 , 20.5°C
 06/21/2005  21:31 , 20.5°C
